celltype_AB,celltype_lectin
4,4
4,5
4,4
4,4
1,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
5,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,5
4,4
1,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
1,4
4,5
4,4
4,4
4,4
4,5
4,4
4,4
5,4
4,4
4,4
5,4
4,4
5,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,5
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,1
5,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,5
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
5,4
4,4
4,4
5,4
5,4
4,4
4,1
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,1
4,5
4,1
4,4
4,4
5,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,1
5,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
5,4
4,4
4,4
4,5
4,4
5,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,5
5,4
4,4
4,4
5,4
4,4
4,4
5,4
4,5
5,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,1
4,5
5,4
5,4
4,4
4,1
1,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,5
4,4
5,4
5,4
4,4
4,4
4,4
4,4
4,5
5,4
5,4
4,4
4,4
4,5
4,4
4,4
4,5
5,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1,4
4,4
4,5
4,4
4,4
4,4
5,4
4,4
5,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
1,4
4,5
4,4
5,4
4,4
4,1
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,5
4,5
5,4
5,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,5
5,4
5,4
4,4
4,4
